time_s,Uz_m_per_s
1.920000000000000040e-01,2.445787000000000100e-01
1.940000000000000058e-01,2.434329000000000076e-01
1.960000000000000075e-01,2.344306999999999919e-01
1.980000000000000093e-01,2.283827999999999969e-01
2.000000000000000111e-01,2.235379000000000116e-01
2.020000000000000129e-01,2.180663999999999936e-01
2.039999999999999869e-01,2.142458999999999891e-01
2.059999999999999887e-01,2.152669999999999861e-01
2.079999999999999905e-01,2.220816999999999930e-01
2.099999999999999922e-01,2.306427000000000060e-01
2.119999999999999940e-01,2.349461999999999939e-01
2.139999999999999958e-01,2.427472999999999992e-01
2.159999999999999976e-01,2.450826000000000116e-01
2.179999999999999993e-01,2.519447000000000214e-01
2.200000000000000011e-01,2.493530999999999942e-01
2.220000000000000029e-01,2.450081000000000064e-01
2.240000000000000047e-01,2.417622000000000104e-01
2.260000000000000064e-01,2.355806000000000011e-01
2.280000000000000082e-01,2.301547999999999927e-01
2.300000000000000100e-01,2.244938999999999962e-01
2.320000000000000118e-01,2.186209000000000069e-01
2.340000000000000135e-01,2.157920000000000116e-01
2.359999999999999876e-01,2.170481999999999967e-01
2.379999999999999893e-01,2.240086000000000022e-01
2.399999999999999911e-01,2.306636999999999993e-01
2.419999999999999929e-01,2.380149000000000015e-01
2.439999999999999947e-01,2.465897999999999979e-01
2.459999999999999964e-01,2.479953000000000018e-01
2.479999999999999982e-01,2.442148000000000096e-01
2.500000000000000000e-01,2.447103999999999946e-01
2.520000000000000018e-01,2.441942000000000002e-01
2.540000000000000036e-01,2.423958999999999975e-01
2.560000000000000053e-01,2.341051000000000104e-01
2.580000000000000071e-01,2.277773999999999910e-01
2.600000000000000089e-01,2.239208000000000032e-01
2.620000000000000107e-01,2.193770999999999916e-01
2.640000000000000124e-01,2.160931000000000102e-01
2.660000000000000142e-01,2.176215999999999984e-01
2.680000000000000160e-01,2.236035000000000106e-01
2.700000000000000178e-01,2.304820999999999953e-01
2.720000000000000195e-01,2.358299000000000090e-01
2.740000000000000213e-01,2.406854999999999967e-01
2.760000000000000231e-01,2.464573999999999931e-01
2.780000000000000249e-01,2.509757000000000238e-01
2.800000000000000266e-01,2.454937000000000091e-01
2.819999999999999729e-01,2.420096999999999943e-01
2.839999999999999747e-01,2.384168000000000120e-01
2.859999999999999765e-01,2.348110999999999948e-01
2.879999999999999782e-01,2.288976000000000066e-01
2.899999999999999800e-01,2.231618999999999964e-01
2.919999999999999818e-01,2.177246999999999932e-01
2.939999999999999836e-01,2.145502999999999993e-01
2.959999999999999853e-01,2.170790999999999971e-01
2.979999999999999871e-01,2.261718000000000062e-01
2.999999999999999889e-01,2.334648000000000001e-01
3.019999999999999907e-01,2.398358999999999908e-01
3.039999999999999925e-01,2.443402000000000074e-01
3.059999999999999942e-01,2.446365000000000067e-01
3.079999999999999960e-01,2.447203000000000017e-01
3.099999999999999978e-01,2.465719000000000105e-01
3.119999999999999996e-01,2.434208999999999956e-01
3.140000000000000013e-01,2.378248000000000029e-01
3.160000000000000031e-01,2.354113999999999929e-01
3.180000000000000049e-01,2.316417000000000059e-01
3.200000000000000067e-01,2.273941999999999908e-01
3.220000000000000084e-01,2.228583000000000092e-01
3.240000000000000102e-01,2.216194999999999971e-01
3.260000000000000120e-01,2.249511999999999901e-01
3.280000000000000138e-01,2.297103000000000061e-01
3.300000000000000155e-01,2.342017999999999878e-01
3.320000000000000173e-01,2.437861000000000056e-01
3.340000000000000191e-01,2.461363000000000023e-01
3.360000000000000209e-01,2.411516999999999966e-01
3.380000000000000226e-01,2.415530999999999928e-01
3.400000000000000244e-01,2.405334000000000083e-01
3.420000000000000262e-01,2.397677000000000003e-01
3.439999999999999725e-01,2.367453999999999947e-01
3.459999999999999742e-01,2.278618000000000032e-01
3.479999999999999760e-01,2.214393000000000056e-01
3.499999999999999778e-01,2.252513999999999905e-01
3.519999999999999796e-01,2.316410999999999887e-01
3.539999999999999813e-01,2.332780999999999882e-01
3.559999999999999831e-01,2.324143999999999932e-01
3.579999999999999849e-01,2.373897000000000090e-01
3.599999999999999867e-01,2.423061999999999994e-01
3.619999999999999885e-01,2.463655999999999902e-01
3.639999999999999902e-01,2.454278000000000015e-01
3.659999999999999920e-01,2.416857000000000033e-01
3.679999999999999938e-01,2.438511999999999902e-01
3.699999999999999956e-01,2.396240000000000037e-01
3.719999999999999973e-01,2.372238999999999876e-01
3.739999999999999991e-01,2.379542000000000046e-01
3.760000000000000009e-01,2.282111000000000001e-01
3.780000000000000027e-01,3.785005999999999787e-02
3.800000000000000044e-01,3.803349999999999786e-02
3.820000000000000062e-01,3.915819000000000244e-02
3.840000000000000080e-01,3.980457999999999913e-02
3.860000000000000098e-01,3.978356000000000253e-02
3.880000000000000115e-01,3.810865000000000086e-02
3.900000000000000133e-01,3.600655999999999995e-02
3.920000000000000151e-01,3.431523000000000212e-02
3.940000000000000169e-01,3.316394999999999760e-02
3.960000000000000187e-01,3.232341999999999854e-02
3.980000000000000204e-01,3.167477999999999960e-02
4.000000000000000222e-01,3.115636000000000100e-02
4.020000000000000240e-01,3.076728000000000102e-02
4.040000000000000258e-01,3.042782000000000125e-02
4.060000000000000275e-01,3.005814999999999876e-02
4.079999999999999738e-01,2.979249999999999954e-02
4.099999999999999756e-01,2.958076000000000108e-02
4.119999999999999774e-01,2.932488999999999929e-02
